Reference,Qty,Price,Value,LCSC Part #
C1,1,0.50 $US,100nf,C60474
R1,1,0.15 $US,1k,C140197
R2,1,0.17 $US,91k,C2909393
"R3,R4,R5",3,0.16 $US,10k,C2906861
J2,1,0.63 $US,Micro_SD_Card,C393941
PCB,5,4.00 $US,N/A,N/A
TOTAL,,5.61 $US,,
